equilibrium_id,regret,welfare,mixture_dict,mixture_vector,support,support_size,is_pure_strategy,dominant_strategy,dominant_probability
1,0.0,33484.80869995117,"{'MELO_0_100': 1.0, 'MELO_100_0': 0.0}","[1.0, 0.0]",['MELO_0_100'],1,True,MELO_0_100,1.0
2,0.0,23791.128447265623,"{'MELO_0_100': 0.0, 'MELO_100_0': 1.0}","[0.0, 1.0]",['MELO_100_0'],1,True,MELO_100_0,1.0
3,0.0,24548.64377338757,"{'MELO_0_100': 0.5, 'MELO_100_0': 0.5}","[0.5, 0.5]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5
4,0.0,32619.980936019045,"{'MELO_0_100': 0.800000011920929, 'MELO_100_0': 0.20000000298023224}","[0.800000011920929, 0.20000000298023224]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.800000011920929
5,0.0,22542.11713241969,"{'MELO_0_100': 0.20000000298023224, 'MELO_100_0': 0.800000011920929}","[0.20000000298023224, 0.800000011920929]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.800000011920929
6,0.0,31439.961565555,"{'MELO_0_100': 0.699999988079071, 'MELO_100_0': 0.30000001192092896}","[0.699999988079071, 0.30000001192092896]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.699999988079071
7,0.0,28986.656327749643,"{'MELO_0_100': 0.6000000238418579, 'MELO_100_0': 0.4000000059604645}","[0.6000000238418579, 0.4000000059604645]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6000000238418579
8,0.0,21954.676289420277,"{'MELO_0_100': 0.30000001192092896, 'MELO_100_0': 0.699999988079071}","[0.30000001192092896, 0.699999988079071]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.699999988079071
9,0.0,21938.005327351613,"{'MELO_0_100': 0.4000000059604645, 'MELO_100_0': 0.6000000238418579}","[0.4000000059604645, 0.6000000238418579]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6000000238418579
10,0.0,24017.363341790035,"{'MELO_0_100': 0.48769545555114746, 'MELO_100_0': 0.5123045444488525}","[0.48769545555114746, 0.5123045444488525]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5123045444488525
11,0.0,22160.218073194294,"{'MELO_0_100': 0.4204409122467041, 'MELO_100_0': 0.5795590877532959}","[0.4204409122467041, 0.5795590877532959]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5795590877532959
12,0.0,33399.3150253534,"{'MELO_0_100': 0.957983136177063, 'MELO_100_0': 0.04201684892177582}","[0.957983136177063, 0.04201684892177582]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.957983136177063
13,0.0,22050.278938955882,"{'MELO_0_100': 0.41176286339759827, 'MELO_100_0': 0.5882371068000793}","[0.41176286339759827, 0.5882371068000793]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5882371068000793
14,0.0,21887.701519468992,"{'MELO_0_100': 0.31562185287475586, 'MELO_100_0': 0.6843781471252441}","[0.31562185287475586, 0.6843781471252441]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6843781471252441
15,0.0,21830.041852041362,"{'MELO_0_100': 0.38077864050865173, 'MELO_100_0': 0.6192213892936707}","[0.38077864050865173, 0.6192213892936707]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.6192213892936707
16,0.0,27466.465609413317,"{'MELO_0_100': 0.5618813037872314, 'MELO_100_0': 0.4381187856197357}","[0.5618813037872314, 0.4381187856197357]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5618813037872314
17,0.0,30326.04426628549,"{'MELO_0_100': 0.6450934410095215, 'MELO_100_0': 0.3549065589904785}","[0.6450934410095215, 0.3549065589904785]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6450934410095215
18,0.0,24482.781450156923,"{'MELO_0_100': 0.498527467250824, 'MELO_100_0': 0.501472532749176}","[0.498527467250824, 0.501472532749176]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.501472532749176
19,0.0,22255.336403090925,"{'MELO_0_100': 0.42669183015823364, 'MELO_100_0': 0.5733082294464111}","[0.42669183015823364, 0.5733082294464111]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5733082294464111
20,0.0,25142.160887048216,"{'MELO_0_100': 0.512823224067688, 'MELO_100_0': 0.4871767461299896}","[0.512823224067688, 0.4871767461299896]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.512823224067688
21,0.0,26001.236491903655,"{'MELO_0_100': 0.5306611657142639, 'MELO_100_0': 0.4693388342857361}","[0.5306611657142639, 0.4693388342857361]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5306611657142639
22,0.0,22016.068100727403,"{'MELO_0_100': 0.4085920453071594, 'MELO_100_0': 0.5914079546928406}","[0.4085920453071594, 0.5914079546928406]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5914079546928406
