equilibrium_id,regret,welfare,mixture_dict,mixture_vector,support,support_size,is_pure_strategy,dominant_strategy,dominant_probability
1,0.0,24899.06720074463,"{'MELO_0_100': 1.0, 'MELO_100_0': 0.0}","[1.0, 0.0]",['MELO_0_100'],1,True,MELO_0_100,1.0
2,0.0,27807.479085083003,"{'MELO_0_100': 0.0, 'MELO_100_0': 1.0}","[0.0, 1.0]",['MELO_100_0'],1,True,MELO_100_0,1.0
3,6.1841681599617e-05,22678.8272563716,"{'MELO_0_100': 0.4861297905445099, 'MELO_100_0': 0.5138702392578125}","[0.4861297905445099, 0.5138702392578125]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5138702392578125
4,6.400886923074722e-05,22542.598930983066,"{'MELO_0_100': 0.49436795711517334, 'MELO_100_0': 0.5056321024894714}","[0.49436795711517334, 0.5056321024894714]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5056321024894714
5,7.483549416065216e-05,22457.907021209718,"{'MELO_0_100': 0.5, 'MELO_100_0': 0.5}","[0.5, 0.5]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5
6,7.824879139661789e-05,22827.42845057364,"{'MELO_0_100': 0.47790905833244324, 'MELO_100_0': 0.5220909118652344}","[0.47790905833244324, 0.5220909118652344]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5220909118652344
7,0.00011519528925418854,22983.721114162054,"{'MELO_0_100': 0.4698149859905243, 'MELO_100_0': 0.5301849842071533}","[0.4698149859905243, 0.5301849842071533]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5301849842071533
8,0.00011698529124259949,22307.99796909017,"{'MELO_0_100': 0.511578381061554, 'MELO_100_0': 0.48842164874076843}","[0.511578381061554, 0.48842164874076843]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.511578381061554
9,0.00014984235167503357,22239.845756396353,"{'MELO_0_100': 0.5180066823959351, 'MELO_100_0': 0.48199331760406494}","[0.5180066823959351, 0.48199331760406494]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5180066823959351
10,0.0001803068444132805,22192.870012470456,"{'MELO_0_100': 0.5232102870941162, 'MELO_100_0': 0.4767897129058838}","[0.5232102870941162, 0.4767897129058838]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5232102870941162
11,0.00022143684327602386,22145.279016799766,"{'MELO_0_100': 0.5296017527580261, 'MELO_100_0': 0.47039827704429626}","[0.5296017527580261, 0.47039827704429626]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5296017527580261
12,0.00024821795523166656,23292.354581608397,"{'MELO_0_100': 0.45475804805755615, 'MELO_100_0': 0.5452418923377991}","[0.45475804805755615, 0.5452418923377991]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5452418923377991
13,0.00038720015436410904,22062.58799632294,"{'MELO_0_100': 0.5529484152793884, 'MELO_100_0': 0.44705164432525635}","[0.5529484152793884, 0.44705164432525635]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5529484152793884
14,0.00039184093475341797,22409.89447154216,"{'MELO_0_100': 0.6236035823822021, 'MELO_100_0': 0.37639641761779785}","[0.6236035823822021, 0.37639641761779785]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6236035823822021
15,0.00044848397374153137,23574.834701964563,"{'MELO_0_100': 0.44142425060272217, 'MELO_100_0': 0.5585757493972778}","[0.44142425060272217, 0.5585757493972778]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5585757493972778
16,0.0005045775324106216,22086.128608682622,"{'MELO_0_100': 0.5715461373329163, 'MELO_100_0': 0.42845389246940613}","[0.5715461373329163, 0.42845389246940613]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5715461373329163
17,0.0005646292120218277,22230.578128241526,"{'MELO_0_100': 0.6000000238418579, 'MELO_100_0': 0.4000000059604645}","[0.6000000238418579, 0.4000000059604645]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.6000000238418579
18,0.0005692262202501297,22175.06722244383,"{'MELO_0_100': 0.5911837816238403, 'MELO_100_0': 0.40881627798080444}","[0.5911837816238403, 0.40881627798080444]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_0_100,0.5911837816238403
19,0.0007227528840303421,23841.632771615503,"{'MELO_0_100': 0.4287974238395691, 'MELO_100_0': 0.5712025761604309}","[0.4287974238395691, 0.5712025761604309]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5712025761604309
20,0.0008683931082487106,23953.968112458082,"{'MELO_0_100': 0.4233970642089844, 'MELO_100_0': 0.5766029357910156}","[0.4233970642089844, 0.5766029357910156]","['MELO_0_100', 'MELO_100_0']",2,False,MELO_100_0,0.5766029357910156
